date,open,high,low,close
2021-04-05,25.3,27.4,25.3,26.89
2021-04-06,26.48,26.94,25.62,26.63
2021-04-07,25.71,26.64,25.71,26.44
2021-04-08,25.7863,26.48,25.77,25.77
2021-04-09,25.7,27.2,25.7,26.35
2021-04-12,27.18,27.49,25.28,25.8
2021-04-13,26.31,26.31,25.2,25.2
2021-04-14,25.31,27.43,25.31,26.49
2021-04-15,25.47,26.1,25.47,26.03
2021-04-16,26.18,26.18,25.04,25.04
2021-04-19,25.67,26.14,24.6844,26.14
2021-04-20,25.9,26.6,25.9,26
2021-04-21,26,26,25.63,25.63
2021-04-22,24.94,25.88,24.9,24.9
2021-04-23,25.18,26,24.3,25.27
2021-04-26,25.7,25.7,24.89,25.57
2021-04-27,25,26.67,24.93,24.93
2021-04-28,26,26,25.46,25.64
2021-04-29,25.5,26,25.24,25.57
2021-04-30,25.39,25.58,25.39,25.48
2021-05-03,24.9,25.6,24.58,24.58
2021-05-04,25.19,25.19,24.44,24.61
2021-05-05,24.52,25.35,24.3936,24.7
2021-05-06,24.45,24.4952,24.04,24.3
2021-05-07,23.97,24.55,23.7,23.84
2021-05-10,24.18,25.19,24.12,25.18
2021-05-11,19.15,20.2,17.72,19.8
2021-05-12,20.5,20.61,18.28,18.28
2021-05-13,18.67,19.68,18.67,19.02
2021-05-14,18.44,20.66,18.44,19.87
2021-05-17,19.9,20.81,19.9,19.987
2021-05-18,20.57,21.061,19.85,20.03
2021-05-19,20.04,20.19,19.251,19.92
2021-05-20,19.74,20.96,19.74,20.96
2021-05-21,21.27,21.27,20.36,21.1
2021-05-24,20.28,21.83,20,21.83
2021-05-25,21,22.1,21,21.16
2021-05-26,20.95,21.6448,20.95,21.21
2021-05-27,21.62,21.72,21.15,21.72
2021-05-28,22.02,22.02,20.29,21
2021-06-01,20.51,21.33,20.35,20.35
2021-06-02,20.92,21.32,20.74,21.32
2021-06-03,21.08,21.46,20.95,21.46
2021-06-04,21.8,21.8,20.693,20.97
2021-06-07,21.81,22.01,21.64,22.01
